"Median age (years)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2015",""
"130"," India","21.1","","21.8","","22.7","","23.8","","25.1","","26.7",""
"116"," Indonesia","21.3","","22.8","","24.4","","25.5","","26.7","","28.0",""
"60"," Iran (Islamic Republic of)","17.2","","18.5","","20.8","","24.1","","26.9","","29.5",""
"120"," Iraq","16.8","","17.5","","18.2","","18.7","","18.9","","19.4",""
"4"," Ireland","28.3","","30.1","","31.8","","33.3","","34.6","","36.9",""
"22"," Israel","25.9","","27.3","","28.0","","28.7","","30.1","","30.2",""
"28"," Italy","37.0","","38.7","","40.4","","42.0","","43.8","","45.9",""
"97"," Jamaica","22.3","","23.5","","24.9","","26.2","","27.6","","29.4",""
"19"," Japan","37.3","","39.4","","41.2","","43.0","","44.7","","46.3",""
"95"," Jordan","16.8","","19.2","","19.6","","20.8","","21.5","","22.1",""
"58"," Kazakhstan","26.0","","27.1","","27.8","","28.6","","28.9","","29.3",""
"142"," Kenya","15.5","","16.4","","17.0","","17.6","","18.2","","19.0",""
"134"," Kiribati","20.4","","19.6","","19.7","","20.8","","21.6","","22.4",""
"n.a"," Korea (Democratic People's Rep. of)","25.0","","27.3","","29.4","","31.5","","33.0","","34.0",""
"22"," Korea (Republic of)","26.9","","29.3","","31.9","","34.8","","38.0","","40.8",""
"56"," Kuwait","23.5","","26.6","","27.8","","28.2","","29.5","","33.4",""
"122"," Kyrgyzstan","21.8","","21.6","","22.5","","23.8","","24.0","","25.3",""
"139"," Lao People's Democratic Republic","17.6","","17.6","","18.0","","19.1","","20.7","","22.7",""
"41"," Latvia","34.7","","36.2","","37.9","","39.5","","40.8","","42.5",""
"80"," Lebanon","23.2","","24.5","","26.3","","26.5","","28.5","","28.5",""
"159"," Lesotho","17.7","","18.4","","18.7","","19.4","","20.5","","21.3",""
"181"," Liberia","17.4","","17.8","","18.1","","18.2","","18.3","","18.6",""
"108"," Libya","18.5","","20.2","","22.1","","24.0","","25.8","","27.2",""
"35"," Lithuania","32.7","","34.0","","35.9","","38.5","","40.6","","42.7",""
"21"," Luxembourg","36.4","","36.7","","37.3","","38.5","","38.9","","39.3",""
"161"," Madagascar","17.1","","17.2","","17.3","","17.5","","18.0","","18.7",""
"171"," Malawi","17.1","","16.9","","16.5","","16.4","","16.7","","17.4",""
"57"," Malaysia","21.6"," f","22.5"," f","23.8"," f","25.0"," f","26.0"," f","27.7"," f"
"101"," Maldives","16.2","","16.7","","18.6","","22.1","","25.0","","27.9",""
"182"," Mali","16.5","","16.5","","16.6","","16.5","","16.2","","16.0",""
"29"," Malta","33.1","","35.0","","36.2","","38.2","","40.1","","40.9",""
"159"," Mauritania","17.4","","17.6","","18.2","","18.7","","19.2","","19.7",""
"65"," Mauritius","24.9"," g","26.8"," g","29.0"," g","30.5"," g","32.9"," g","35.6"," g"
"74"," Mexico","19.5","","21.2","","22.7","","24.2","","25.9","","27.5",""
"131"," Micronesia (Federated States of)","17.6","","17.8","","18.9","","19.5","","20.2","","21.5",""
"112"," Moldova (Republic of)","29.9"," h","30.8"," h","31.3"," h","32.4"," h","34.2"," h","35.6"," h"
"92"," Mongolia","19.3","","20.3","","22.0","","24.0","","25.7","","27.1",""
"50"," Montenegro","29.8","","32.2","","34.4","","35.0","","36.4","","37.7",""
"123"," Morocco","19.8","","21.1","","22.7","","24.4","","26.3","","27.9",""
"180"," Mozambique","16.2","","17.5","","17.4","","17.1","","17.0","","17.2",""
"148"," Myanmar","20.8","","22.1","","23.4","","24.7","","26.3","","27.7",""
"129"," Namibia","17.8","","18.6","","19.5","","19.6","","19.9","","21.0",""
"149"," Nepal","18.7","","19.0","","19.3","","20.0","","21.3","","23.2",""
"10"," Netherlands","34.6","","36.0","","37.5","","39.0","","40.8","","42.1",""
"16"," New Zealand","31.1","","32.6","","34.3","","35.5","","36.6","","37.3",""
"124"," Nicaragua","16.9","","18.0","","19.4","","21.2","","23.1","","25.2",""
"189"," Niger","15.8","","15.9","","15.9","","15.4","","15.0","","14.9",""
"157"," Nigeria","17.4","","17.7","","17.9","","18.0","","17.9","","17.9",""
"1"," Norway","35.4"," i","36.1"," i","36.9"," i","38.0"," i","38.7"," i","39.2"," i"
"48"," Oman","17.9","","20.9","","20.9","","22.9","","26.2","","29.0",""
"150"," Pakistan","18.5","","18.6","","19.2","","20.2","","21.4","","22.5",""
"119"," Palestine, State of","15.7"," j","15.7"," j","16.0"," j","17.0"," j","18.2"," j","19.3"," j"
"66"," Panama","21.7","","23.1","","24.5","","25.9","","27.2","","28.4",""
"153"," Papua New Guinea","18.7","","19.3","","19.8","","20.4","","20.9","","21.7",""
"110"," Paraguay","19.4","","19.7","","20.5","","21.9","","23.3","","24.9",""
"89"," Peru","20.4","","21.5","","22.8","","24.3","","25.9","","27.5",""
"113"," Philippines","19.2","","19.8","","20.5","","21.3","","23.1","","24.1",""
"33"," Poland","32.2","","33.6","","35.0","","36.6","","38.1","","39.7",""
"41"," Portugal","34.2","","36.0","","37.9","","39.5","","41.6","","43.9",""
"37"," Qatar","28.7","","29.0","","30.5","","31.0","","31.8","","31.3",""
"52"," Romania","32.6","","33.9","","34.9","","37.0","","39.4","","41.3",""
"49"," Russian Federation","33.4","","35.0","","36.5","","37.3","","38.0","","38.7",""
"158"," Rwanda","15.3","","17.8","","17.3","","18.3","","19.1","","19.4",""
"90"," Saint Lucia","21.4","","23.1","","24.3","","26.2","","30.3","","32.6",""
"99"," Saint Vincent and the Grenadines","20.4","","22.3","","24.2","","26.3","","27.9","","29.8",""
"104"," Samoa","18.7","","19.1","","19.5","","20.3","","20.8","","21.2",""
"143"," Sao Tome and Principe","16.0","","16.6","","17.3","","17.5","","17.8","","18.1",""
"39"," Saudi Arabia","19.5","","19.4","","21.3","","23.7","","25.9","","29.8",""
"164"," Senegal","16.4","","16.8","","17.3","","17.8","","18.1","","18.3",""
"67"," Serbia","33.2"," k","34.1"," k","36.1"," k","37.3"," k","38.8"," k","40.0"," k"
"62"," Seychelles","21.9","","24.5","","26.3","","29.0","","31.3","","34.6",""
"184"," Sierra Leone","17.4","","17.4","","17.5","","17.6","","17.8","","18.3",""
"9"," Singapore","29.3","","31.8","","34.1","","35.9","","37.3","","40.0",""
"38"," Slovakia","31.2","","32.4","","33.9","","35.4","","37.3","","39.2",""
"25"," Slovenia","34.1","","36.2","","38.1","","40.0","","41.5","","43.0",""
"152"," Solomon Islands","16.9","","17.9","","18.7","","19.1","","19.5","","19.9",""
"n.a"," Somalia","17.8","","17.4","","16.5","","16.1","","16.1","","16.5",""
"113"," South Africa","20.1","","21.6","","22.8","","23.8","","24.8","","26.1",""
"187"," South Sudan","17.8","","17.7","","17.6","","17.7","","18.1","","18.6",""
"26"," Spain","33.4"," l","35.5"," l","37.6"," l","39.1"," l","40.6"," l","43.2"," l"
"76"," Sri Lanka","24.2","","25.8","","27.6","","28.9","","30.4","","32.3",""
"167"," Sudan","17.0","","17.7","","17.9","","18.1","","18.3","","18.9",""
"100"," Suriname","22.8","","23.9","","25.1","","25.9","","27.2","","28.4",""
"7"," Sweden","38.4","","38.5","","39.4","","40.3","","40.7","","40.9",""
"2"," Switzerland","36.9","","37.2","","38.6","","40.1","","41.6","","42.2",""
"155"," Syrian Arab Republic","16.3","","17.5","","18.7","","19.7","","21.5","","20.2",""
"127"," Tajikistan","18.1","","17.8","","18.3","","19.8","","21.3","","22.4",""
"154"," Tanzania (United Republic of)","16.8"," m","17.0"," m","17.2"," m","17.2"," m","17.2"," m","17.3"," m"
"83"," Thailand","24.3","","26.6","","30.1","","32.7","","35.5","","37.8",""
"80"," The former Yugoslav Republic of Macedonia","29.2","","30.7","","32.3","","34.0","","35.7","","37.4",""
"132"," Timor-Leste","19.8","","19.9","","14.8","","15.4","","17.1","","17.4",""
"165"," Togo","16.8","","17.0","","17.9","","18.3","","18.6","","18.9",""
"98"," Tonga","19.7","","19.8","","19.9","","21.1","","21.2","","21.3",""
"69"," Trinidad and Tobago","24.1","","25.7","","27.8","","29.9","","31.9","","33.9",""
"95"," Tunisia","21.3","","23.1","","25.1","","27.2","","29.2","","31.1",""
"64"," Turkey","22.1","","23.5","","24.9","","26.6","","28.3","","29.9",""
"108"," Turkmenistan","19.6","","20.1","","21.7","","23.0","","24.4","","25.6",""
"162"," Uganda","15.9","","15.5","","15.2","","15.1","","15.3","","15.8",""
"88"," Ukraine","35.3"," n","36.4"," n","37.8"," n","39.1"," n","39.5"," n","40.3"," n"
"34"," United Arab Emirates","26.7","","27.8","","28.1","","29.8","","31.9","","33.4",""
"14"," United Kingdom","35.8","","36.5","","37.6","","38.7","","39.6","","40.2",""
"13"," United States","32.8","","34.0","","35.2","","36.1","","36.9","","37.6",""
"55"," Uruguay","30.7","","31.1","","31.6","","32.6","","33.7","","34.9",""
"105"," Uzbekistan","19.6","","19.8","","21.0","","22.8","","24.5","","26.3",""
"138"," Vanuatu","18.1","","18.5","","18.9","","19.8","","21.2","","22.2",""
"78"," Venezuela (Bolivarian Republic of)","21.0","","22.0","","23.1","","24.4","","25.8","","27.4",""
"116"," Viet Nam","21.0","","22.2","","24.2","","26.4","","28.5","","30.4",""
"178"," Yemen","14.3","","14.9","","15.6","","16.8","","18.0","","19.2",""
"144"," Zambia","16.4","","16.5","","16.6","","16.4","","16.5","","17.1",""
"156"," Zimbabwe","16.6","","17.2","","17.8","","18.3","","18.6","","19.0",""
"a: Includes Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"b: Includes Nagorno-Karabakh."
"c: Includes Northern Cyprus."
"d: Includes Åland Islands."
"e: Includes Abkhazia and South Ossetia."
"f: Includes Sabah and Sarawak."
"g: Includes Agalega, Rodrigues and Saint Brandon."
"h: Includes Transnistria."
"i: Includes Svalbard and Jan Mayen Islands."
"j: Includes East Jerusalem."
"k: Includes Kosovo."
"l: Includes Canary Islands, Ceuta and Melilla."
"m: Includes Zanzibar."
"n: Includes Crimea."
""
