"Literacy rate, adult (% ages 15 and older)"
"57"," Malaysia","","","","","88.7","","","","93.1","","","","","","","","","","","","",""
"101"," Maldives","96.0","","96.3","","","","","","","","","","","","","","98.6","","","","",""
"182"," Mali","","","","","","","","","31.1","","33.6","","","","","","","","33.1","","",""
"29"," Malta","","","87.9","","","","92.4","","","","93.3","","","","","","","","","","",""
"106"," Marshall Islands","","","","","","","","","","","98.3","","","","","","","","","","",""
"159"," Mauritania","","","","","51.2","","","","","","","","","","","","","","","","",""
"65"," Mauritius","79.9","","","","84.3","","","","","","89.3","","91.8","","91.5","","92.5","","92.7","","",""
"74"," Mexico","87.6","","","","90.5","","91.6","","93.1","","93.5","","94.2","","94.0","","94.6","","94.5","","",""
"112"," Moldova (Republic of)","","","","","96.7","","","","","","","","99.1","","","","","","","","",""
"92"," Mongolia","","","","","97.8","","","","98.3","","","","","","","","","","","","",""
"50"," Montenegro","","","","","","","","","","","98.4","","","","","","","","","","",""
"123"," Morocco","","","","","","","","","","","67.1","","69.4","","","","","","","","",""
"148"," Myanmar","","","","","89.9","","","","","","","","","","","","","","","","75.6",""
"129"," Namibia","","","","","","","","","","","88.3","","","","","","","","","","",""
"149"," Nepal","","","","","","","","","","","59.6","","","","","","","","","","",""
"124"," Nicaragua","","","","","","","78.0","","","","","","","","","","","","","","",""
"189"," Niger","","","","","","","28.7","","","","","","15.5","","","","","","","","",""
"48"," Oman","","","","","","","","","86.9","","","","","","","","92.0","","93.0","","",""
"150"," Pakistan","","","","","","","49.9","","55.4","","54.7","","56.8","","55.6","","57.0","","","","",""
"60"," Palau","","","","","","","","","","","","","","","99.5","","","","96.6","","",""
"119"," Palestine, State of","","","","","","","","","94.9","","95.3","","95.9","","96.3","","96.4","","96.7","","96.9",""
"66"," Panama","88.8","","","","91.9","","","","94.1","","","","","","","","","","","","",""
"153"," Papua New Guinea","","","","","57.3","","","","","","","","","","","","","","","","",""
"110"," Paraguay","","","","","","","","","93.9","","","","","","","","94.6","","95.1","","",""
"89"," Peru","","","","","","","87.9","","","","","","93.8","","","","93.7","","94.2","","94.2",""
"113"," Philippines","93.6","","","","92.6","","","","","","","","","","96.4","","","","","","",""
"41"," Portugal","","","","","","","","","","","94.5","","","","","","","","","","",""
